signalid,planid,ring1_g1,ring1_g2,ring2_g1,ring2_g2,permissive,split
7216,0,"1,2","3,4","5,6","7,8",,
7216,1,"2,1","3,4","5,6","7,8",,
7216,2,"1,2","3,4","5,6","8,7",,
7216,3,"2,1","3,4","5,6","8,7",,
7216,4,"1,2","3,4","6,5","7,8",,
7216,5,"2,1","3,4","6,5","7,8",,
7216,6,"1,2","3,4","6,5","8,7",,
7216,7,"2,1","3,4","6,5","8,7",,
7217,0,"1,2",4,6,8,"6,8",
7218,0,"1,2",4,"5,6",8,8,
7218,1,"1,2",4,"6,5",8,8,
7218,2,"2,1",4,"5,6",8,8,
7218,3,"2,1",4,"6,5",8,8,
7219,0,"1,2","3,4","5,6","7,8",,
7219,1,"1,2","4,3","5,6","7,8",,
7219,2,"2,1","3,4","5,6","7,8",,
7219,3,"2,1","4,3","5,6","7,8",,
7219,4,"1,2","3,4","5,6","8,7",,
7219,5,"1,2","4,3","5,6","8,7",,
7219,6,"2,1","3,4","5,6","8,7",,
7219,7,"2,1","4,3","5,6","8,7",,
7219,8,"1,2","3,4","6,5","7,8",,
7219,9,"1,2","4,3","6,5","7,8",,
7219,10,"2,1","3,4","6,5","7,8",,
7219,11,"2,1","4,3","6,5","7,8",,
7219,12,"1,2","3,4","6,5","8,7",,
7219,13,"1,2","4,3","6,5","8,7",,
7219,14,"2,1","3,4","6,5","8,7",,
7219,15,"2,1","4,3","6,5","8,7",,
7503,0,2,4,6,4,,4
7220,0,"1,2",4,"5,6",8,"4,8",
7220,1,"1,2",4,"6,5",8,"4,8",
7220,2,"2,1",4,"5,6",8,"4,8",
7220,3,"2,1",4,"6,5",8,"4,8",
7221,0,2,"3,4",6,"3,4","2,6","3,4"
7222,0,2,4,6,8,"2,4,6,8",
7223,0,2,4,6,8,"2,4,6,8",
7371,0,2,4,6,8,"2,4,6,8",
