signalid,phaseid,split,min_green,yellow,rc,gap_out_max,MP,main_start,main_end,ring1_g1_start,ring1_g1_end,ring1_g2_start,ring1_g2_end,ring2_g1_start,ring2_g1_end,ring2_g2_start,ring2_g2_end,main_ratio,r1g1,r1g2,r2g1,r2g2
7216,1,30,5,3,2,4,10,60,64,100,104,104,108,108,112,112,116,0,0.666666667,0.266666667,0.333333333,0.8
7216,2,60,15,4,2,999,21,60,64,100,104,104,108,108,112,112,116,0,0.666666667,0.266666667,0.333333333,0.8
7216,3,15,5,3,2,4,10,60,64,100,104,104,108,108,112,112,116,0,0.666666667,0.266666667,0.333333333,0.8
7216,4,45,6,4,3,4,13,60,64,100,104,104,108,108,112,112,116,0,0.666666667,0.266666667,0.333333333,0.8
7216,5,12,5,3,2,4,10,60,64,100,104,104,108,108,112,112,116,0,0.666666667,0.266666667,0.333333333,0.8
7216,6,78,15,4,2,999,21,60,64,100,104,104,108,108,112,112,116,0,0.666666667,0.266666667,0.333333333,0.8
7216,7,15,5,3,3,4,11,60,64,100,104,104,108,108,112,112,116,0,0.666666667,0.266666667,0.333333333,0.8
7216,8,45,6,4,3,4,13,60,64,100,104,104,108,108,112,112,116,0,0.666666667,0.266666667,0.333333333,0.8
7217,1,30,5,3,2,4,10,64,68,116,120,,,,,,,0.266666667,0.533333333,,,
7217,2,80,15,4,2,999,21,64,68,116,120,,,,,,,0.266666667,0.533333333,,,
7217,3,0,0,3,2,4,0,64,68,116,120,,,,,,,0.266666667,0.533333333,,,
7217,4,40,5,4,2,4,11,64,68,116,120,,,,,,,0.266666667,0.533333333,,,
7217,5,0,5,3,2,4,0,64,68,116,120,,,,,,,0.266666667,0.533333333,,,
7217,6,110,15,4,2,999,21,64,68,116,120,,,,,,,0.266666667,0.533333333,,,
7217,7,0,4,3,2,4,0,64,68,116,120,,,,,,,0.266666667,0.533333333,,,
7217,8,40,5,4,2,4,11,64,68,116,120,,,,,,,0.266666667,0.533333333,,,
7218,1,38,8,3,2,4,13,68,72,120,124,,,124,128,,,0.866666667,0.266666667,,0,
7218,2,77,15,4,2,999,21,68,72,120,124,,,124,128,,,0.866666667,0.266666667,,0,
7218,3,0,0,3,2,4,0,68,72,120,124,,,124,128,,,0.866666667,0.266666667,,0,
7218,4,35,5,4,2,4,11,68,72,120,124,,,124,128,,,0.866666667,0.266666667,,0,
7218,5,20,5,3,2,4,10,68,72,120,124,,,124,128,,,0.866666667,0.266666667,,0,
7218,6,95,15,4,2,999,21,68,72,120,124,,,124,128,,,0.866666667,0.266666667,,0,
7218,7,0,5,3,2,4,0,68,72,120,124,,,124,128,,,0.866666667,0.266666667,,0,
7218,8,35,5,4,2,4,11,68,72,120,124,,,124,128,,,0.866666667,0.266666667,,0,
7219,1,12,5,3,2,4,10,72,76,128,132,132,136,136,140,140,144,0.866666667,0.066666667,0.866666667,1,0.866666667
7219,2,91,15,4,2,999,21,72,76,128,132,132,136,136,140,140,144,0.866666667,0.066666667,0.866666667,1,0.866666667
7219,3,15,5,3,2,4,10,72,76,128,132,132,136,136,140,140,144,0.866666667,0.066666667,0.866666667,1,0.866666667
7219,4,32,8,4,2,4,14,72,76,128,132,132,136,136,140,140,144,0.866666667,0.066666667,0.866666667,1,0.866666667
7219,5,34,8,3,2,4,13,72,76,128,132,132,136,136,140,140,144,0.866666667,0.066666667,0.866666667,1,0.866666667
7219,6,69,15,4,2,999,21,72,76,128,132,132,136,136,140,140,144,0.866666667,0.066666667,0.866666667,1,0.866666667
7219,7,18,5,3,2,4,10,72,76,128,132,132,136,136,140,140,144,0.866666667,0.066666667,0.866666667,1,0.866666667
7219,8,29,8,4,2,4,14,72,76,128,132,132,136,136,140,140,144,0.866666667,0.066666667,0.866666667,1,0.866666667
7503,1,0,0,3,2,4,0,76,80,,,,,,,,,0.466666667,,,,
7503,2,110,15,4,2,999,21,76,80,,,,,,,,,0.466666667,,,,
7503,3,0,0,3,2,4,0,76,80,,,,,,,,,0.466666667,,,,
7503,4,40,5,4,2,4,11,76,80,,,,,,,,,0.466666667,,,,
7503,5,0,0,3,2,4,0,76,80,,,,,,,,,0.466666667,,,,
7503,6,110,15,4,2,999,21,76,80,,,,,,,,,0.466666667,,,,
7503,7,0,0,3,2,4,0,76,80,,,,,,,,,0.466666667,,,,
7503,8,0,0,4,2,4,0,76,80,,,,,,,,,0.466666667,,,,
7220,1,16,5,3,2,4,10,80,84,144,148,,,148,152,,,0.133333333,0,,0.533333333,
7220,2,104,10,4,2,999,16,80,84,144,148,,,148,152,,,0.133333333,0,,0.533333333,
7220,3,0,0,4,1,4,0,80,84,144,148,,,148,152,,,0.133333333,0,,0.533333333,
7220,4,30,5,4,4,4,13,80,84,144,148,,,148,152,,,0.133333333,0,,0.533333333,
7220,5,20,5,3,2,4,10,80,84,144,148,,,148,152,,,0.133333333,0,,0.533333333,
7220,6,100,10,4,2,999,16,80,84,144,148,,,148,152,,,0.133333333,0,,0.533333333,
7220,7,0,0,3,1,4,0,80,84,144,148,,,148,152,,,0.133333333,0,,0.533333333,
7220,8,30,5,4,4,4,13,80,84,144,148,,,148,152,,,0.133333333,0,,0.533333333,
7221,1,0,0,3,1,4,0,84,88,,,152,156,,,152,156,0.6,,1,,1
7221,2,100,15,5,4,999,24,84,88,,,152,156,,,152,156,0.6,,1,,1
7221,3,19,5,4,8,4,17,84,88,,,152,156,,,152,156,0.6,,1,,1
7221,4,31,5,4,5,4,14,84,88,,,152,156,,,152,156,0.6,,1,,1
7221,5,0,0,3,2,4,0,84,88,,,152,156,,,152,156,0.6,,1,,1
7221,6,100,15,5,4,999,24,84,88,,,152,156,,,152,156,0.6,,1,,1
7221,7,0,0,3,1,4,0,84,88,,,152,156,,,152,156,0.6,,1,,1
7221,8,0,0,3,1,4,0,84,88,,,152,156,,,152,156,0.6,,1,,1
7222,1,0,0,3,1,4,0,88,92,,,,,,,,,1,,,,
7222,2,120,20,4,2,999,26,88,92,,,,,,,,,1,,,,
7222,3,0,0,3,1,4,0,88,92,,,,,,,,,1,,,,
7222,4,30,5,4,2,4,11,88,92,,,,,,,,,1,,,,
7222,5,0,0,3,1,4,0,88,92,,,,,,,,,1,,,,
7222,6,120,20,4,2,999,26,88,92,,,,,,,,,1,,,,
7222,7,0,0,3,1,4,0,88,92,,,,,,,,,1,,,,
7222,8,30,5,4,2,4,11,88,92,,,,,,,,,1,,,,
7223,1,0,0,3,2,4,0,92,96,,,,,,,,,0.2,,,,
7223,2,115,20,4,2,999,26,92,96,,,,,,,,,0.2,,,,
7223,3,0,0,3,2,4,0,92,96,,,,,,,,,0.2,,,,
7223,4,35,5,4,2,4,11,92,96,,,,,,,,,0.2,,,,
7223,5,0,0,3,2,4,0,92,96,,,,,,,,,0.2,,,,
7223,6,115,20,4,2,999,26,92,96,,,,,,,,,0.2,,,,
7223,7,0,0,3,2,4,0,92,96,,,,,,,,,0.2,,,,
7223,8,35,5,4,2,4,11,92,96,,,,,,,,,0.2,,,,
7371,1,0,5,3,2,4,0,96,100,,,,,,,,,0.733333333,,,,
7371,2,110,15,5,2,999,22,96,100,,,,,,,,,0.733333333,,,,
7371,3,0,0,3,1,4,0,96,100,,,,,,,,,0.733333333,,,,
7371,4,40,5,4,2,4,11,96,100,,,,,,,,,0.733333333,,,,
7371,5,0,5,3,2,4,0,96,100,,,,,,,,,0.733333333,,,,
