SignalID,EventParam,date,hour,fivemin,counts,dow
7274,4,2019-10-01,7,9,6,2
7274,4,2019-10-01,11,9,5,2
7274,4,2019-10-01,15,8,6,2
7274,4,2019-10-02,9,11,5,3
7274,4,2019-10-02,14,0,5,3
7274,4,2019-10-02,16,0,3,3
7274,4,2019-10-08,10,7,1,2
7274,4,2019-10-09,7,11,2,3
7274,4,2019-10-09,8,8,4,3
7274,4,2019-10-15,16,6,4,2
7274,4,2019-10-16,12,4,4,3
7274,4,2019-10-16,15,7,3,3
7274,4,2019-10-22,19,8,3,2
7274,4,2019-10-24,7,10,3,4
7274,4,2019-10-30,14,7,4,3
7274,4,2019-11-07,14,0,8,4
7274,4,2019-11-13,10,7,7,3
7274,4,2019-11-14,6,6,1,4
7274,4,2019-11-19,7,2,6,2
7274,4,2019-11-19,8,4,1,2
7274,4,2019-11-20,12,4,2,3
7274,4,2019-11-20,16,4,7,3
7274,4,2019-11-27,6,2,4,3
7274,4,2019-11-27,9,7,4,3
7274,4,2019-11-27,13,6,3,3
7274,4,2019-12-03,6,3,1,2
7274,4,2019-12-03,12,1,5,2
7274,4,2019-12-03,14,1,3,2
7274,4,2019-12-03,21,5,1,2
7274,4,2019-12-18,16,4,3,3
7274,4,2019-12-31,15,2,4,2
7274,4,2019-10-01,14,3,3,2
7274,4,2019-10-03,9,3,2,4
7274,4,2019-10-03,14,4,4,4
7274,4,2019-10-09,11,8,4,3
7274,4,2019-10-15,11,2,3,2
7274,4,2019-10-16,13,11,6,3
7274,4,2019-10-22,6,11,4,2
7274,4,2019-10-22,8,2,4,2
7274,4,2019-10-23,6,3,1,3
7274,4,2019-10-30,13,7,3,3
7274,4,2019-10-31,16,11,2,4
7274,4,2019-11-06,15,5,7,3
7274,4,2019-11-06,19,4,2,3
7274,4,2019-11-07,17,10,2,4
7274,4,2019-11-12,5,10,1,2
7274,4,2019-11-12,15,9,4,2
7274,4,2019-11-12,18,9,3,2
7274,4,2019-11-13,8,8,4,3
7274,4,2019-11-13,20,2,1,3
7274,4,2019-11-14,8,5,1,4
7274,4,2019-11-14,13,2,4,4
7274,4,2019-11-14,17,1,6,4
7274,4,2019-11-20,13,1,7,3
7274,4,2019-11-21,9,3,4,4
7274,4,2019-11-26,8,3,2,2
7274,4,2019-12-03,15,7,2,2
7274,4,2019-12-04,10,6,5,3
7274,4,2019-12-04,11,4,5,3
7274,4,2019-12-04,15,10,3,3
7274,4,2019-12-04,20,10,2,3
7274,4,2019-12-10,10,11,5,2
7274,4,2019-12-17,7,8,3,2
7274,4,2019-10-01,7,0,5,2
7274,4,2019-10-02,14,2,3,3
7274,4,2019-10-09,17,1,3,3
7274,4,2019-10-09,19,6,1,3
7274,4,2019-10-10,12,6,3,4
7274,4,2019-10-10,13,2,2,4
7274,4,2019-10-10,16,7,4,4
7274,4,2019-10-10,17,4,1,4
7274,4,2019-10-15,8,6,5,2
7274,4,2019-10-29,17,1,5,2
7274,4,2019-10-30,19,8,2,3
7274,4,2019-11-05,7,9,4,2
7274,4,2019-11-05,8,0,6,2
7274,4,2019-11-05,11,3,4,2
7274,4,2019-11-12,10,5,7,2
7274,4,2019-11-13,12,11,5,3
7274,4,2019-11-14,17,5,5,4
7274,4,2019-11-20,7,4,2,3
7274,4,2019-11-26,21,1,1,2
7274,4,2019-11-27,17,11,1,3
7274,4,2019-11-27,20,5,1,3
7274,4,2019-12-10,6,2,3,2
7274,4,2019-12-10,20,4,1,2
7274,4,2019-12-11,6,2,2,3
7274,4,2019-12-17,9,9,1,2
7274,4,2019-12-17,16,3,2,2
7274,4,2019-12-19,12,4,2,4
7274,4,2019-10-02,7,8,5,3
7274,4,2019-10-02,11,2,4,3
7274,4,2019-10-08,6,1,1,2
7274,4,2019-10-08,14,3,1,2
7274,4,2019-10-09,16,2,7,3
7274,4,2019-10-09,17,2,3,3
7274,4,2019-10-10,15,10,1,4
7274,4,2019-10-16,11,6,6,3
7274,4,2019-10-29,10,4,3,2
7274,4,2019-10-29,11,0,4,2
7274,4,2019-10-31,10,6,8,4
7274,4,2019-10-31,18,5,3,4
7274,4,2019-11-13,13,3,6,3
7274,4,2019-11-13,18,11,1,3
7274,4,2019-11-19,11,6,5,2
7274,4,2019-11-20,17,4,5,3
7274,4,2019-11-21,8,6,5,4
7274,4,2019-11-21,9,1,5,4
7274,4,2019-11-21,10,3,4,4
7274,4,2019-11-21,12,10,3,4
7274,4,2019-12-03,15,1,6,2
7274,4,2019-12-04,9,1,4,3
7274,4,2019-12-04,15,1,5,3
7274,4,2019-12-05,20,8,1,4
7274,4,2019-12-05,22,5,1,4
7274,4,2019-12-10,8,7,1,2
7274,4,2019-12-10,9,11,2,2
7274,4,2019-12-10,14,4,1,2
7274,4,2019-12-12,13,3,3,4
7274,4,2019-12-12,14,7,3,4
7274,4,2019-12-19,10,0,1,4
7274,4,2019-12-19,11,11,1,4
7274,4,2019-12-19,17,6,1,4
7274,4,2019-12-26,11,7,1,4
7274,4,2019-12-26,11,9,2,4
7274,4,2019-10-01,11,5,5,2
7274,4,2019-10-01,13,8,5,2
7274,4,2019-10-01,14,6,4,2
7274,4,2019-10-01,21,0,1,2
7274,4,2019-10-02,19,5,3,3
7274,4,2019-10-03,10,4,6,4
7274,4,2019-10-03,15,0,5,4
7274,4,2019-10-08,14,4,1,2
7274,4,2019-10-15,14,10,3,2
7274,4,2019-10-16,7,2,5,3
7274,4,2019-10-17,14,3,3,4
7274,4,2019-10-22,12,8,1,2
7274,4,2019-10-22,13,2,4,2
7274,4,2019-10-23,17,9,5,3
7274,4,2019-10-23,20,9,3,3
7274,4,2019-10-24,19,2,1,4
7274,4,2019-10-24,20,8,1,4
7274,4,2019-10-29,6,5,2,2
7274,4,2019-10-29,9,2,8,2
7274,4,2019-10-30,10,5,6,3
7274,4,2019-10-31,6,10,4,4
7274,4,2019-11-06,7,4,3,3
7274,4,2019-11-06,16,2,4,3
7274,4,2019-11-06,20,9,1,3
7274,4,2019-11-07,15,0,3,4
7274,4,2019-11-07,20,6,1,4
7274,4,2019-11-12,5,9,1,2
7274,4,2019-11-13,13,11,6,3
7274,4,2019-11-20,12,10,7,3
7274,4,2019-11-27,17,9,2,3
7274,4,2019-12-05,21,2,1,4
7274,4,2019-12-10,5,7,1,2
7274,4,2019-12-11,10,6,3,3
7274,4,2019-12-12,11,2,1,4
7274,4,2019-12-19,5,9,1,4
7274,4,2019-12-31,8,5,1,2
7274,4,2019-10-01,6,3,2,2
7274,4,2019-10-01,10,11,4,2
7274,4,2019-10-03,6,9,4,4
7274,4,2019-10-03,9,10,2,4
7274,4,2019-10-08,17,2,3,2
7274,4,2019-10-10,16,3,3,4
7274,4,2019-10-15,9,11,2,2
7274,4,2019-10-16,21,2,1,3
7274,4,2019-10-23,7,4,2,3
7274,4,2019-10-24,18,7,1,4
7274,4,2019-10-29,9,0,6,2
7274,4,2019-10-29,11,5,3,2
7274,4,2019-10-30,6,7,1,3
7274,4,2019-10-31,7,5,4,4
7274,4,2019-10-31,20,2,2,4
7274,4,2019-11-07,15,9,4,4
7274,4,2019-11-07,18,8,1,4
7274,4,2019-11-13,8,4,5,3
7274,4,2019-11-14,11,3,1,4
7274,4,2019-11-26,11,3,1,2
7274,4,2019-11-27,17,8,2,3
7274,4,2019-11-27,18,8,1,3
7274,4,2019-12-03,7,7,5,2
7274,4,2019-12-05,11,3,4,4
7274,4,2019-12-10,15,3,8,2
7274,4,2019-10-01,7,4,4,2
7274,4,2019-10-01,18,2,3,2
7274,4,2019-10-02,9,7,5,3
7274,4,2019-10-03,10,6,6,4
7274,4,2019-10-03,20,3,1,4
7274,4,2019-10-08,12,10,2,2
7274,4,2019-10-16,9,8,5,3
7274,4,2019-10-16,16,3,3,3
7274,4,2019-10-22,21,8,1,2
7274,4,2019-10-23,10,9,6,3
7274,4,2019-10-23,13,2,4,3
7274,4,2019-10-24,7,11,5,4
7274,4,2019-10-24,17,4,2,4
7274,4,2019-10-30,7,11,5,3
7274,4,2019-10-30,9,1,7,3
7274,4,2019-10-30,16,1,3,3
7274,4,2019-11-06,19,8,1,3
7274,4,2019-11-19,13,8,5,2
7274,4,2019-11-19,16,7,4,2
7274,4,2019-11-19,20,9,3,2
7274,4,2019-11-20,9,5,5,3
7274,4,2019-11-20,11,5,2,3
7274,4,2019-11-26,13,9,5,2
