vType_id,vType_length,vType_vClass,flow_begin,flow_departPos,flow_departSpeed,flow_end,flow_id,flow_number,route_edges
veh_passenger,4,passenger,,,,,,,
,,,0.00,last,max,1.00,0_447,1,363648686#0 363648686#2 363648686#3 363648686#5 105826050#1
,,,0.45,last,max,50.29,0_249,2,10131659#1 10131659#5 10131659#5.37 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 -508466788#1 -69232295#3
,,,0.91,last,max,1.91,0_338,1,10150738 598977856#0 591388269#1 591388269#1.160 591388269#1.258 692123188 -591388261#0
,,,1.36,last,max,2.36,0_355,1,10150738 598977856#0 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 697666085#12 697666085#13 697666085#13.295 697666085#15.103 -10147126#9
,,,1.81,last,max,25.83,0_575,6,683763247#0 591388258#0 -139051731#19 -139051731#18
,,,2.27,last,max,278.19,0_183,11,-632830121#1 -696962877#4 -696962877#1.83 -697666085#15 -697666085#12 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 172099960#1 172099960#2
,,,2.72,last,max,3.72,0_426,1,145218802#36 145218802#37 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 -591388261#0
,,,3.17,last,max,4.17,0_371,1,139051731#16 139051731#19 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 10137507#1
,,,3.62,last,max,45.31,0_175,2,-632830121#1 -696962877#4 -696962877#1.83 -697666085#15 -697666085#12 -697666085#9 -697666085#8 -697666085#8.761 -697666082#1 -697666081#1 -697666083#6 -697666083#6.199 -697666084 -207412426#1 -697666080 -697666080.66 -207412432#8 -207412432#8.103 -207412432#3 -207412432#0 -207412432#0.230 600491439#0 146626843#0 146626843#0.250 146626843#0.250.97 146626843#2 146626842#2 207412421-AddedOnRampEdge 591388255#1 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 -598977856#0 -10150738
,,,4.08,last,max,5.08,0_474,1,363648686#0 363648686#2 363648686#3 363648686#5 591388269#1 591388269#1.160 591388269#1.258 692123188 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 gneE15
,,,4.53,last,max,24.47,0_22,3,-10137014#3 -10147126#9
,,,4.98,last,max,62.98,0_672,3,749736413#1 749736413#1.127 105826050#1
,,,5.44,last,max,24.01,0_336,3,10150738 598977856#0 10137507#1
,,,5.89,last,max,6.89,0_244,1,10124969#4 10124969#6 692513877#1 692513877#1.27 692123191 692513879#1 683763253#1 683763253#1.209 10137507#1
,,,6.34,last,max,7.34,0_566,1,621228442#0 621228442#1 692513882 692513882.119 692513882.255 692513873 692513873.472 146626844#2 146626844#2.308 146626844#5.190 146626841#1 146626839#0 146626839#0.73 207412432#0.28 207412432#3 207412432#4 207412432#4.140 697666080 207412426#0 697666084 697666083#0 697666083#0.332 697666081#0 697666082#1 697666085#0 697666085#0.242 697666085#9 697666085#12 697666085#13 697666085#13.295 697666085#15.103 -10147126#9
