signalid,planid,offset,cycle_length,offset_start,offset_end,seq_start,seq_end,cycle_start,cycle_end,minC,maxC
7216,3,16,120,0,4,44,46,52,56,70,180
7217,0,80,120,4,8,,,52,56,70,180
7218,1,40,120,8,12,46,48,52,56,70,180
7219,3,104,120,12,16,48,50,52,56,70,180
7503,0,80,120,16,20,,,52,56,70,180
7220,1,56,120,20,24,50,52,52,56,70,180
7221,0,8,120,24,28,,,52,56,70,180
7222,0,0,120,28,32,,,52,56,70,180
7223,0,16,120,32,36,,,52,56,70,180
7371,0,64,120,36,40,,,52,56,70,180
7274,0,11,160,40,44,,,56,60,70,180
